image_path,product_id,domain,split
images/0013_shop_0.jpg,P0013,shop,train
images/0013_shop_1.jpg,P0013,shop,train
images/0014_consumer_0.jpg,P0014,consumer,train
images/0014_consumer_1.jpg,P0014,consumer,train
images/0014_shop_0.jpg,P0014,shop,train
images/0014_shop_1.jpg,P0014,shop,train
images/0015_consumer_0.jpg,P0015,consumer,train
images/0015_consumer_1.jpg,P0015,consumer,train
images/0015_shop_0.jpg,P0015,shop,train
images/0015_shop_1.jpg,P0015,shop,train
images/0016_consumer_0.jpg,P0016,consumer,train
images/0016_consumer_1.jpg,P0016,consumer,train
images/0016_shop_0.jpg,P0016,shop,train
images/0016_shop_1.jpg,P0016,shop,train
images/0017_consumer_0.jpg,P0017,consumer,train
images/0017_consumer_1.jpg,P0017,consumer,train
images/0017_shop_0.jpg,P0017,shop,train
images/0017_shop_1.jpg,P0017,shop,train
images/0018_consumer_0.jpg,P0018,consumer,train
images/0018_consumer_1.jpg,P0018,consumer,train
images/0018_shop_0.jpg,P0018,shop,train
images/0018_shop_1.jpg,P0018,shop,train
images/0019_consumer_0.jpg,P0019,consumer,train
images/0019_consumer_1.jpg,P0019,consumer,train
images/0019_shop_0.jpg,P0019,shop,train
images/0019_shop_1.jpg,P0019,shop,train
images/0020_consumer_0.jpg,P0020,consumer,train
images/0020_consumer_1.jpg,P0020,consumer,train
images/0020_shop_0.jpg,P0020,shop,train
images/0020_shop_1.jpg,P0020,shop,train
images/0021_consumer_0.jpg,P0021,consumer,val
images/0021_consumer_1.jpg,P0021,consumer,val
images/0021_shop_0.jpg,P0021,shop,val
images/0021_shop_1.jpg,P0021,shop,val
images/0022_consumer_0.jpg,P0022,consumer,val
images/0022_consumer_1.jpg,P0022,consumer,val
images/0022_shop_0.jpg,P0022,shop,val
images/0022_shop_1.jpg,P0022,shop,val
images/0023_consumer_0.jpg,P0023,consumer,val
images/0023_consumer_1.jpg,P0023,consumer,val
images/0023_shop_0.jpg,P0023,shop,val
images/0023_shop_1.jpg,P0023,shop,val
images/0024_consumer_0.jpg,P0024,consumer,val
images/0024_consumer_1.jpg,P0024,consumer,val
images/0024_shop_0.jpg,P0024,shop,val
images/0024_shop_1.jpg,P0024,shop,val
images/0025_consumer_0.jpg,P0025,consumer,test
images/0025_consumer_1.jpg,P0025,consumer,test
images/0025_shop_0.jpg,P0025,shop,test
images/0025_shop_1.jpg,P0025,shop,test
images/0026_consumer_0.jpg,P0026,consumer,test
images/0026_consumer_1.jpg,P0026,consumer,test
images/0026_shop_0.jpg,P0026,shop,test
images/0026_shop_1.jpg,P0026,shop,test
images/0027_consumer_0.jpg,P0027,consumer,test
images/0027_consumer_1.jpg,P0027,consumer,test
images/0027_shop_0.jpg,P0027,shop,test
images/0027_shop_1.jpg,P0027,shop,test
images/0028_consumer_0.jpg,P0028,consumer,test
images/0028_consumer_1.jpg,P0028,consumer,test
images/0028_shop_0.jpg,P0028,shop,test
images/0028_shop_1.jpg,P0028,shop,test
images/0029_consumer_0.jpg,P0029,consumer,test
images/0029_consumer_1.jpg,P0029,consumer,test
images/0029_shop_0.jpg,P0029,shop,test
images/0029_shop_1.jpg,P0029,shop,test
